GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
gate,gate.security,SessionPolicy,28,68,0,0,2,19,6,4,6,4
gate,gate.security,Credentials,34,527,13,29,3,92,16,30,3,22
gate,gate.security,Claims,33,118,0,2,8,28,2,16,2,15
gate,gate.security,CryptoKeys,93,62,5,3,18,14,6,4,2,4
gate,gate.adapter.registry,CatcherRegistry,41,0,2,0,13,0,6,0,5,0
gate,gate.adapter.registry,HandlerRegistry,41,0,2,0,13,0,6,0,5,0
gate,gate.messaging,Outbox.new Authenticator() {...},24,0,0,0,2,0,2,0,2,0
gate,gate.messaging,Inboxes,24,0,0,0,6,0,4,0,4,0
gate,gate.messaging,Messenger,129,0,6,0,34,0,12,0,9,0
gate,gate.messaging,MailEvent,24,0,0,0,6,0,1,0,1,0
gate,gate.messaging,Outbox,485,0,42,0,87,0,31,0,10,0
gate,gate.messaging,Inbox,439,0,46,0,90,0,34,0,11,0
gate,gate.messaging,MessageException,9,0,0,0,4,0,2,0,2,0
gate,gate.http,ScreenServletRequest,381,127,46,11,74,33,50,9,23,7
gate,gate.http,HttpMethod,45,0,0,0,2,0,1,0,1,0
gate,gate.http,ScreenServletResponse,94,103,10,4,19,25,14,7,7,7
gate,gate.event,LoginEvent,17,0,0,0,5,0,2,0,2,0
gate,gate.event,LogoffEvent,17,0,0,0,5,0,2,0,2,0
gate,gate.event,AppEvent,70,0,0,0,21,0,7,0,7,0
gate,gate.thymeleaf.processors.attribute.request,ScreenAttributeProcessor,4,0,0,0,2,0,1,0,1,0
gate,gate.thymeleaf.processors.attribute.request,RequestAttributeProcessor,386,0,58,0,82,0,40,0,9,0
gate,gate.thymeleaf.processors.attribute.request,ActionAttributeProcessor,4,0,0,0,2,0,1,0,1,0
gate,gate.thymeleaf.processors.attribute.request,ModuleAttributeProcessor,4,0,0,0,2,0,1,0,1,0
gate,gate.rest.exception,BadRequestExceptionMapper,12,0,0,0,5,0,2,0,2,0
gate,gate.rest.exception,AppExceptionMapper,12,0,0,0,5,0,2,0,2,0
gate,gate.rest.exception,ServiceUnavailableExceptionMapper,12,0,0,0,5,0,2,0,2,0
gate,gate.rest.exception,InternalServerExceptionMapper,12,0,0,0,5,0,2,0,2,0
gate,gate.rest.exception,ForbidenExceptionMapper,12,0,0,0,5,0,2,0,2,0
gate,gate.rest.exception,InvalidCredentialsExceptionMapper,12,0,0,0,5,0,2,0,2,0
gate,gate.rest.exception,NotFoundExceptionMapper,12,0,0,0,5,0,2,0,2,0
gate,gate.rest.exception,WebApplicationExceptionMapper,14,0,0,0,5,0,2,0,2,0
gate,gate.rest.exception,ConversionExceptionMapper,12,0,0,0,5,0,2,0,2,0
gate,gate.rest.exception,UnauthorizedExceptionMapper,12,0,0,0,5,0,2,0,2,0
gate,gate.producer,SSEPathProducer,7,0,0,0,2,0,2,0,2,0
gate,gate.producer,TemplateEngineProducer,33,0,0,0,10,0,2,0,2,0
gate,gate.producer,MoneyProducer,5,0,0,0,2,0,2,0,2,0
gate,gate.producer,AppProducer.AppControl.AppDao,37,0,0,0,14,0,3,0,3,0
gate,gate.producer,JakartaServletWebApplicationProducer,13,0,0,0,5,0,3,0,3,0
gate,gate.producer,VersionProducer,32,0,4,0,6,0,5,0,3,0
gate,gate.producer,LinkSourceProducer,106,0,8,0,26,0,9,0,5,0
gate,gate.producer,ContextMapProducer,13,0,0,0,3,0,2,0,2,0
gate,gate.producer,LoggerProducer,8,0,0,0,2,0,2,0,2,0
gate,gate.producer,LocalTimeProducer,5,0,0,0,2,0,2,0,2,0
gate,gate.producer,UserProducer,10,37,2,4,1,10,2,3,0,2
gate,gate.producer,AppProducer,95,0,4,0,19,0,10,0,8,0
gate,gate.producer,LocalDateProducer,5,0,0,0,2,0,2,0,2,0
gate,gate.producer,LocalDateTimeProducer,7,0,0,0,3,0,3,0,3,0
gate,gate.producer,AppProducer.AppControl,22,0,0,0,7,0,1,0,1,0
gate,gate.rest,DataGridHandler,13,0,0,0,4,0,3,0,3,0
gate,gate.rest,ObjectJsonHandler,41,0,4,0,10,0,7,0,5,0
gate,gate.rest,ParameterConverterProvider.ParameterConverter,28,0,0,0,8,0,3,0,3,0
gate,gate.rest,ParameterConverterProvider,18,0,4,0,5,0,4,0,2,0
gate,gate.rest,ObjectTextHandler,48,0,4,0,12,0,8,0,6,0
gate,gate.rest,JsonArrayHandler,42,0,4,0,9,0,7,0,5,0
gate,gate.rest,JsonObjectHandler,42,0,4,0,9,0,7,0,5,0
gate,gate.rest,AuthorizationInterceptor,46,0,6,0,12,0,5,0,2,0
gate,gate.rest,MimeDataFileHandler,18,0,0,0,6,0,3,0,3,0
gate,gate.rest,JsonElementHandler,36,0,0,0,9,0,5,0,5,0
gate,gate.catalog,OrgCatalog,32,0,0,0,7,0,4,0,4,0
gate,gate.catalog,UserCatalog.UserDao,65,0,0,0,17,0,4,0,4,0
